6678137.000000	0.000000	0.000000	0.000000	5515.432893	5515.432893	0.000
6666945.854793	275893.889944	275893.889944	-447.059189	5506.190221	5506.190221	50.050
6633411.858488	550863.822778	550863.822778	-892.540236	5478.498281	5478.498281	100.100
6577654.916450	823986.826586	823986.826586	-1334.852966	5432.468531	5432.468531	150.150
6499872.484538	1094350.235413	1094350.235413	-1772.434043	5368.281766	5368.281766	200.200
6400338.754017	1361052.588954	1361052.588954	-2203.751397	5286.188780	5286.188780	250.250
6279318.658999	1623222.287865	1623222.287865	-2627.401399	5186.765227	5186.765227	300.300
6137232.017344	1879978.809332	1879978.809332	-3041.932338	5070.384819	5070.384819	350.350
5974643.408546	2130450.158521	2130450.158521	-3445.856704	4937.239003	4937.239003	400.400
5792166.181770	2373798.733490	2373798.733490	-3837.757693	4787.628455	4787.628455	450.450
5590462.455857	2609221.325187	2609221.325187	-4216.289208	4621.963074	4621.963074	500.501
5370243.119321	2835949.117456	2835949.117456	-4580.175859	4440.761987	4440.761987	550.551
5132267.830350	3053247.687030	3053247.687030	-4928.212963	4244.653544	4244.653544	600.601
4877345.016808	3260417.003535	3260417.003535	-5259.266543	4034.375324	4034.375324	650.651
4606331.876231	3456791.429492	3456791.429492	-5572.273330	3810.774130	3810.774130	700.701
4320134.375830	3641739.720309	3641739.720309	-5866.240762	3574.805991	3574.805991	750.751
4019707.252489	3814665.024291	3814665.024291	-6140.246982	3327.536163	3327.536163	800.801
3706054.012767	3975004.882633	3975004.882633	-6393.440842	3070.139126	3070.139126	850.851
3380226.932897	4122231.229421	4122231.229421	-6625.041900	2803.898587	2803.898587	900.901
3043327.058786	4255850.391636	4255850.391636	-6834.340421	2530.207479	2530.207479	950.951
2696437.971665	4375472.357781	4375472.357781	-7021.133694	2250.008712	2250.008712	1001.001
2340685.549342	4480836.563769	4480836.563769	-7185.269283	1963.511708	1963.511708	1051.051
1977320.519304	4571662.518870	4571662.518870	-7325.931157	1671.428499	1671.428499	1101.101
1607589.286874	4647711.886824	4647711.886824	-7442.450319	1374.524601	1374.524601	1151.151
1232732.912989	4708789.244450	4708789.244450	-7534.311483	1073.613126	1073.613126	1201.201
853987.114209	4754742.081647	4754742.081647	-7601.153080	769.554776	769.554776	1251.251
472582.262711	4785460.801397	4785460.801397	-7642.767249	463.257850	463.257850	1301.301
89743.386290	4800878.719760	4800878.719760	-7659.099846	155.678237	155.678237	1351.351
-293309.831637	4800972.065880	4800972.065880	-7650.250436	-152.180576	-152.180576	1401.401
-675363.052036	4785759.981978	4785759.981978	-7616.472300	-459.267512	-459.267512	1451.451
-1055207.280254	4755304.523357	4755304.523357	-7558.172428	-764.483899	-764.483899	1501.502
-1431638.866018	4709710.658403	4709710.658403	-7475.911528	-1066.683471	-1066.683471	1551.552
-1803459.503437	4649126.268579	4649126.268579	-7370.404015	-1364.672369	-1364.672369	1601.602
-2169476.231002	4573742.148430	4573742.148430	-7242.518021	-1657.209140	-1657.209140	1651.652
-2528501.431581	4483792.005583	4483792.005583	-7093.275388	-1943.004738	-1943.004738	1701.702
-2879396.111542	4379566.243824	4379566.243824	-6923.687541	-2220.977388	-2220.977388	1751.752
-3221264.322104	4261500.713794	4261500.713794	-6733.603702	-2491.460124	-2491.460124	1801.802
-3553058.655446	4130049.980471	4130049.980471	-6523.047643	-2753.838308	-2753.838308	1851.852
-3873735.200522	3985684.268580	3985684.268580	-6292.284970	-3007.307665	-3007.307665	1901.902
-4182293.994505	3828898.785971	3828898.785971	-6041.717730	-3251.102747	-3251.102747	1951.952
-4477779.022793	3660213.723617	3660213.723617	-5771.884409	-3484.496926	-3484.496926	2002.002
-4759278.219002	3480174.255614	3480174.255614	-5483.459937	-3706.802403	-3706.802403	2052.052
-5025923.464970	3289350.539181	3289350.539181	-5177.255684	-3917.370198	-3917.370198	2102.102
-5276890.590760	3088337.714662	3088337.714662	-4854.219460	-4115.590157	-4115.590157	2152.152
-5511399.374651	2877755.905523	2877755.905523	-4515.435518	-4300.890949	-4300.890949	2202.202
-5728713.543148	2658250.218354	2658250.218354	-4162.124552	-4472.740069	-4472.740069	2252.252
-5928140.770974	2430490.742868	2430490.742868	-3795.643695	-4630.643832	-4630.643832	2302.302
-6109032.681075	2195172.551900	2195172.551900	-3417.486525	-4774.147380	-4774.147380	2352.352
-6270784.844619	1953015.701411	1953015.701411	-3029.283058	-4902.834678	-4902.834678	2402.402
-6412836.780995	1704765.230484	1704765.230484	-2632.799751	-5016.328513	-5016.328513	2452.452
-6534673.124431	1451190.287741	1451190.287741	-2229.928049	-5114.301131	-5114.301131	2502.503
-6635966.659583	1193011.220857	1193011.220857	-1821.283191	-5197.343166	-5197.343166	2552.553
-6716495.233041	931030.406642	931030.406642	-1407.040079	-5265.246170	-5265.246170	2602.603
-6776032.351512	666114.327270	666114.327270	-988.017067	-5317.140272	-5317.140272	2652.653
-6814405.099864	399126.862285	399126.862285	-565.107111	-5352.302827	-5352.302827	2702.703
-6831494.141125	130929.288603	130929.288603	-139.277766	-5370.158416	-5370.158416	2752.753
-6827233.716485	-137619.719490	-137619.719490	288.428817	-5370.278846	-5370.278846	2802.803
-6801611.645298	-405664.090339	-405664.090339	716.895886	-5352.383150	-5352.383150	2852.853
-6754669.325077	-672350.354915	-672350.354915	1144.932090	-5316.337590	-5316.337590	2902.903
-6686501.731497	-936827.646820	-936827.646820	1571.271481	-5262.155651	-5262.155651	2952.953
-6597257.418395	-1198247.702287	-1198247.702287	1994.573509	-5189.998045	-5189.998045	3003.003
